"","x"
"1",0.0138666666666667
"2",0.00102777777777778
"3",0.0025445537398417
"4",7e-04
"5",2e-04
"6",3.36700336700337e-06
"7",0.102758333333333
"8",0.0128577720207254
"9",7.7720207253886e-06
"10",0
"11",0
"12",0.00146666666666667
"13",0.00395
"14",0.00233333333333333
"15",3.36700336700337e-06
"16",0.00665
"17",0.002
"18",0.0031
"19",0.00700298210735587
"20",0.00867198581560284
"21",0.000536315440689198
"22",0
"23",0.007
"24",0.337116666666667
"25",0.00578333333333333
"26",0.134732772020725
"27",0.00803333333333333
"28",0.00100932000834149
"29",0
"30",0.0665833333333333
"31",4e-04
"32",0.0335156862745098
"33",0.0200759503801521
"34",0.0101
"35",0.006
"36",0.00842443868739205
"37",7.7720207253886e-06
"38",0.0688333333333333
"39",0.00619352887942438
"40",0.027
"41",0.00233921568627451
"42",0.00171923076923077
"43",0.00200777202072539
"44",0.0054
"45",0.00100600600600601
"46",0
"47",0.0135719858156028
"48",0.0369406373445744
"49",0.00300785340314136
"50",6.34911072286818e-06
"51",0.0283463743818642
"52",0
"53",0.00100600600600601
"54",0.00578333333333333
"55",0.001
"56",0
"57",8e-04
"58",0
"59",0.0112524209683874
"60",3.36700336700337e-06
"61",0.00228673469387755
"62",0.002
"63",0.001
"64",0.00375
"65",0.00523571428571429
"66",1.21198468123451e-05
"67",0
"68",0
"69",5.31914893617021e-06
"70",0
"71",0.001003367003367
"72",0.0209393393393393
"73",0
"74",0.001939070059893
"75",0
"76",0
"77",0
"78",0.01
"79",0.000666666666666667
"80",7.7720207253886e-06
"81",2e-04
"82",0.001
"83",0.0136522988505747
"84",0.000333333333333333
"85",0
"86",0
"87",0.0357239706779077
"88",0.0536409090909091
"89",0.623701648351649
"90",0.000333333333333333
"91",0
"92",0.00725
"93",7.7720207253886e-06
"94",3.36700336700337e-06
"95",0.000533333333333333
"96",0.00587443868739206
"97",0.003
"98",0.00075531914893617
"99",0.2673
"100",0.000533333333333333
"101",0
"102",0
"103",0.003
"104",0.00351179041101538
"105",0.001
"106",0
"107",0.0035
"108",0
"109",0.00479444444444444
"110",0.00541244855967078
"111",0.000257772020725389
"112",0.0753666666666667
"113",0
"114",0.00200531914893617
"115",0.0094
"116",0.00560970511384845
"117",0.0206880035835492
"118",0.0152029821073559
"119",7.7720207253886e-06
"120",0.1102
"121",7.7720207253886e-06
"122",0
"123",0
"124",0
"125",0.003
"126",0
"127",5e-04
"128",0
"129",0.00300495049504951
"130",0.00526781609195402
"131",0
"132",0.0566906862745098
"133",0.001
"134",0.0103377192982456
"135",9.32000834148767e-06
"136",0.03647
"137",7.7720207253886e-06
"138",0.00296252849405023
"139",0.00357443868739206
"140",0
"141",0.002003367003367
"142",0.000333333333333333
"143",0.003
"144",0.00308333333333333
"145",0.000208728179551122
"146",0
"147",0.0193426533416748
"148",3.36700336700337e-06
"149",0.001
"150",0
"151",0
"152",0.975166666666667
"153",0.00254118673647469
"154",0.0028
"155",0.161281468531469
"156",0.00787795894878189
"157",3.36700336700337e-06
"158",0.00345376445278593
"159",0.0174583333333333
"160",9.32000834148767e-06
"161",0.00250952380952381
"162",0
"163",0
"164",0.0116418901660281
"165",0.01595
"166",0
"167",0.00627443868739205
"168",0.0321
"169",0.04305
"170",0.0315456790123457
"171",0.00333333333333333
"172",0.013003367003367
"173",0
"174",0.00025
"175",0.001
"176",0.00095
"177",0.00150777202072539
"178",0.00937003367003367
"179",0.00225
"180",0.05312
"181",0.0154577720207254
"182",0
"183",0.014641095890411
"184",0.006153367003367
"185",0.0147460938706191
"186",0.001
"187",0.00253125
"188",0
"189",0.000257772020725389
"190",0.000333333333333333
"191",0.00367443868739206
"192",0.00306666666666667
"193",0.00253333333333333
"194",0.001503367003367
"195",0
"196",0.00178333333333333
"197",0.00273333333333333
"198",0.00837198581560284
"199",0.00139285714285714
"200",7.7720207253886e-06
"201",0
"202",2.5974025974026e-06
"203",0.001
"204",0.00301111111111111
"205",0.00122752475433445
"206",7.7720207253886e-06
"207",0.0294833333333333
"208",0.00633744855967078
"209",3.36700336700337e-06
"210",0.00106666666666667
"211",5e-04
"212",0.0466320087147969
"213",0.002
"214",0.001
"215",0.00200777202072539
"216",0.0361666666666667
"217",0
"218",0.01935
"219",0.0166226726726727
"220",0.00100777202072539
"221",0.0014
"222",0
"223",0.00233333333333333
"224",0.248440068027211
"225",0
"226",0.001
"227",0.00316666666666667
"228",0.00466666666666667
"229",0
"230",0.002
"231",0.0025
"232",0.0738833333333333
"233",0.00783333333333333
"234",0.003
"235",0.0116663043478261
"236",0.372991105354059
"237",0
"238",0.0213833333333333
"239",0
"240",0.0104529411764706
"241",7.7720207253886e-06
"242",0
"243",0
"244",0.0014
"245",0.00215777202072539
"246",0.0681833333333333
"247",0
"248",0.001
"249",0.001
"250",0
"251",0.152716666666667
"252",1.92864551819518e-05
"253",0.00695
"254",6.00600600600601e-06
"255",0.00100777202072539
"256",0.0014
"257",0.00151666666666667
"258",0.0055
"259",0
"260",0.0169068491433434
"261",0.030553367003367
"262",0
"263",0.00800777202072539
"264",0.00823333333333333
"265",0.0088940077483815
"266",0.00166666666666667
"267",3.36700336700337e-06
"268",0.0255870437294089
"269",0
"270",0
"271",0.002
"272",0.0184
"273",0.005003367003367
"274",0.002003367003367
"275",6e-04
"276",0.00100777202072539
"277",2.5974025974026e-06
"278",0.00458333333333333
"279",0.0174216171617162
"280",0
"281",0.00807003367003367
"282",0.0102692307692308
"283",0.00634110535405872
"284",0.00525
"285",0.0129881881746824
"286",0
"287",0.001
"288",0.001003367003367
"289",0.00326214359803909
"290",0.01425
"291",0.0088
"292",0.0136960784313725
"293",0.00475
"294",0.00178333333333333
"295",0.0100453815261044
"296",0
"297",7.69230769230769e-06
"298",0
"299",0
"300",7.7720207253886e-06
"301",0.000744553739841698
"302",2.79589487818914e-05
"303",6.00600600600601e-06
"304",0.00025
"305",0
"306",0.001
"307",0.000503367003367003
"308",0.0044
"309",0
"310",0.00305777202072539
"311",0.0012
"312",0.00133333333333333
"313",0.00933333333333333
"314",0.0117666666666667
"315",0
"316",1.02696439856752e-05
"317",0
"318",0.0052
"319",0.003
"320",0.00025
"321",0
"322",0.00681666666666667
"323",0
"324",7.7720207253886e-06
"325",3.36700336700337e-06
"326",0.0021
"327",0.00313297101449275
"328",0
"329",0.9869
"330",0.0037
"331",9.32000834148767e-06
"332",0.009
"333",0.0262339090101383
"334",0
"335",0.0493666666666667
"336",0.0222166666666667
